Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,29,54.0,38,418,3420,56,35,3,3,88,5,1.47,0.92,2.39,1.39,2.32,49.1,46.8,30.2,1.29,0.79,2.09,1.23,2.03
Aston Villa,28,43.9,38,418,3420,40,32,1,3,70,1,1.05,0.84,1.89,1.03,1.87,40.2,37.9,30.4,1.06,0.80,1.86,1.00,1.80
Bournemouth,27,43.8,38,418,3420,38,24,4,4,78,3,1.00,0.63,1.63,0.89,1.53,42.7,39.7,27.4,1.12,0.72,1.85,1.05,1.77
Brighton,25,52.2,38,418,3420,35,24,1,2,59,2,0.92,0.63,1.55,0.89,1.53,40.9,39.4,26.4,1.08,0.69,1.77,1.04,1.73
Burnley,22,41.4,38,418,3420,41,30,3,3,67,0,1.08,0.79,1.87,1.00,1.79,44.2,42.0,27.6,1.16,0.73,1.89,1.10,1.83
Chelsea,27,60.7,38,418,3420,69,46,7,7,60,0,1.82,1.21,3.03,1.63,2.84,66.6,61.7,46.4,1.75,1.22,2.97,1.62,2.85
Crystal Palace,25,44.5,38,418,3420,29,20,3,3,62,2,0.76,0.53,1.29,0.68,1.21,33.8,31.6,23.5,0.89,0.62,1.51,0.83,1.45
Everton,24,49.2,38,418,3420,42,32,1,1,76,3,1.11,0.84,1.95,1.08,1.92,48.3,47.5,30.3,1.27,0.80,2.07,1.25,2.05
Leicester City,24,57.6,38,418,3420,65,48,5,7,43,3,1.71,1.26,2.97,1.58,2.84,60.7,55.4,43.0,1.60,1.13,2.73,1.46,2.59
Liverpool,24,63.4,38,418,3420,83,69,5,5,38,1,2.18,1.82,4.00,2.05,3.87,70.2,66.4,50.2,1.85,1.32,3.17,1.75,3.07
Manchester City,24,66.9,38,418,3420,100,70,6,11,64,4,2.63,1.84,4.47,2.47,4.32,93.0,84.7,66.4,2.45,1.75,4.19,2.23,3.97
Manchester Utd,29,56.2,38,418,3420,65,43,10,14,73,0,1.71,1.13,2.84,1.45,2.58,59.7,49.1,37.2,1.57,0.98,2.55,1.29,2.27
Newcastle Utd,28,38.6,38,418,3420,38,29,0,1,66,3,1.00,0.76,1.76,1.00,1.76,33.0,32.2,23.1,0.87,0.61,1.48,0.85,1.46
Norwich City,30,49.3,38,418,3420,25,18,2,2,68,3,0.66,0.47,1.13,0.61,1.08,38.1,36.7,26.5,1.00,0.70,1.70,0.97,1.66
Sheffield Utd,26,43.1,38,418,3420,36,25,1,1,63,2,0.95,0.66,1.61,0.92,1.58,41.6,40.8,31.6,1.09,0.83,1.92,1.07,1.90
Southampton,25,49.3,38,418,3420,51,32,2,5,55,4,1.34,0.84,2.18,1.29,2.13,53.7,49.7,31.2,1.41,0.82,2.23,1.31,2.13
Tottenham,29,52.2,38,418,3420,56,39,3,4,84,3,1.47,1.03,2.50,1.39,2.42,45.5,42.4,30.5,1.20,0.80,2.00,1.12,1.92
Watford,26,42.5,38,418,3420,35,21,7,8,80,3,0.92,0.55,1.47,0.74,1.29,45.7,39.6,28.7,1.20,0.75,1.96,1.04,1.80
West Ham,29,44.0,38,418,3420,49,36,4,4,64,1,1.29,0.95,2.24,1.18,2.13,46.4,43.4,31.7,1.22,0.83,2.06,1.14,1.98
Wolves,21,48.3,38,418,3420,49,34,4,4,61,2,1.29,0.89,2.18,1.18,2.08,46.6,43.6,32.0,1.23,0.84,2.07,1.15,1.99
