Squad,# Pl,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,29,16349,19802,82.6,321171,94850,232,693,33.5,12092,13463,89.8,4025,5646,71.3,35,30.2,+4.8,285,1120,320,70,1490
Aston Villa,28,11530,15352,75.1,242826,87405,198,587,33.7,8093,9501,85.2,3239,5264,61.5,32,30.4,+1.6,361,891,286,94,1398
Bournemouth,27,11942,15972,74.8,234438,86353,234,718,32.6,8875,10497,84.5,2833,4757,59.6,24,27.4,-3.4,267,902,259,53,1388
Brighton,25,15695,19547,80.3,317790,103836,202,655,30.8,11486,13099,87.7,4007,5793,69.2,24,26.4,-2.4,327,1087,310,84,1624
Burnley,22,9926,14227,69.8,203017,78567,232,645,36.0,7031,8476,83.0,2663,5106,52.2,30,27.6,+2.4,263,780,208,77,1187
Chelsea,27,20663,24530,84.2,404001,114210,356,813,43.8,15310,17056,89.8,4997,6661,75.0,46,46.4,-0.4,453,1475,433,105,1876
Crystal Palace,25,12137,15931,76.2,235489,89704,296,727,40.7,9032,10547,85.6,2809,4657,60.3,20,23.5,-3.5,252,865,256,57,1413
Everton,24,13240,17177,77.1,281758,100651,189,657,28.8,9328,10912,85.5,3723,5608,66.4,32,30.3,+1.7,316,1039,297,85,1638
Leicester City,24,17332,21153,81.9,333441,103821,274,748,36.6,13103,14701,89.1,3955,5704,69.3,48,43.0,+5.0,398,1244,325,85,1659
Liverpool,24,20887,25110,83.2,425172,125665,290,764,38.0,15123,16875,89.6,5474,7471,73.3,69,50.2,+18.8,436,1731,506,101,2154
Manchester City,24,24266,27672,87.7,471050,125630,294,774,38.0,18201,19843,91.7,5771,7055,81.8,70,66.4,+3.6,558,1914,604,98,2282
Manchester Utd,29,17543,21171,82.9,324880,97583,284,786,36.1,13617,15265,89.2,3642,5120,71.1,43,37.2,+5.8,401,1361,357,52,1762
Newcastle Utd,28,10502,14207,73.9,217404,81708,202,576,35.1,7549,8889,84.9,2751,4742,58.0,29,23.1,+5.9,293,766,190,67,1126
Norwich City,30,14610,18291,79.9,270200,88175,313,764,41.0,11220,12673,88.5,3077,4854,63.4,18,26.5,-8.5,299,876,224,42,1200
Sheffield Utd,26,12054,16410,73.5,243261,85796,233,719,32.4,8856,10420,85.0,2965,5271,56.3,25,31.6,-6.6,266,997,295,91,1415
Southampton,25,12481,16900,73.9,239289,84477,277,701,39.5,9427,11242,83.9,2777,4957,56.0,32,31.2,+0.8,333,983,306,70,1482
Tottenham,29,15794,19704,80.2,306118,94501,265,723,36.7,11830,13376,88.4,3699,5605,66.0,39,30.5,+8.5,327,1144,302,51,1511
Watford,26,11207,15413,72.7,221942,84885,279,691,40.4,8202,9831,83.4,2726,4891,55.7,21,28.7,-7.7,287,892,267,79,1359
West Ham,29,12388,16488,75.1,240756,90739,303,828,36.6,9168,10793,84.9,2917,4867,59.9,36,31.7,+4.3,318,971,259,85,1398
Wolves,21,14072,17896,78.6,297656,97753,215,664,32.4,9815,11411,86.0,4042,5821,69.4,34,32.0,+2.0,327,1015,230,81,1410
