Squad,# Pl,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Arsenal,29,54.0,24196,2926,8613,11497,5714,934,22390,429,712,60.3,456,35,16310,97524,55338,18851,16349,86.7,448,451
Aston Villa,28,43.9,19827,2769,7305,8467,5350,783,17902,368,584,63.0,404,25,11556,74840,39576,14087,11530,81.8,409,428
Bournemouth,27,43.8,20687,2739,7757,8699,5398,834,18879,362,648,55.9,396,28,12187,73835,38863,14684,11942,81.3,522,437
Brighton,25,52.2,24065,2875,8783,10589,6196,883,22324,361,599,60.3,380,21,15610,91748,47721,18477,15695,84.9,474,513
Burnley,22,41.4,18704,2365,5993,8774,4845,659,16886,270,472,57.2,292,18,9851,55581,27136,12820,9926,77.4,406,355
Chelsea,27,60.7,29172,2484,8815,14257,7921,1207,27384,464,717,64.7,496,14,20505,113124,61624,23594,20663,87.6,475,479
Crystal Palace,25,44.5,20780,2485,7320,9546,5125,907,18844,447,713,62.7,473,24,12376,72789,38610,14788,12134,82.1,507,555
Everton,24,49.2,21843,2699,7590,9927,5595,889,20004,391,633,61.8,428,31,13247,78958,41901,16043,13240,82.5,490,472
Leicester City,24,57.6,25869,2349,8071,12497,6810,1001,24031,411,677,60.7,444,22,16888,93641,50934,20015,17332,86.6,469,479
Liverpool,24,63.4,29380,2179,7579,15101,8490,1325,27526,439,719,61.1,482,27,20118,104986,57175,24019,20887,87.0,477,426
Manchester City,24,66.9,31552,2218,7282,16360,10068,1629,30004,540,815,66.3,566,23,22893,127664,75386,26741,24266,90.7,332,396
Manchester Utd,29,56.2,25675,2321,7491,12596,7341,990,23880,475,780,60.9,506,39,17481,105426,60975,20060,17543,87.5,451,478
Newcastle Utd,28,38.6,18719,2502,7628,7783,4334,594,16999,427,657,65.0,457,18,10761,64354,34431,12987,10502,80.9,453,407
Norwich City,30,49.3,23022,3273,9318,9989,5160,734,21235,451,731,61.7,483,33,14490,86382,46863,17229,14610,84.8,478,466
Sheffield Utd,26,43.1,20791,2311,6363,8946,6493,824,19017,364,540,67.4,387,22,11989,64547,32548,15040,12054,80.1,418,371
Southampton,25,49.3,22029,2217,6593,10572,6062,900,20097,455,739,61.6,490,23,12531,73477,39027,15420,12481,80.9,515,431
Tottenham,29,52.2,24347,2655,7926,11794,6111,815,22571,467,804,58.1,510,33,15693,90196,49135,18554,15794,85.1,410,470
Watford,26,42.5,19956,2253,6442,9052,5489,875,18180,358,615,58.2,380,15,11588,64448,35230,14072,11207,79.6,446,411
West Ham,29,44.0,20829,2285,6463,9958,5606,832,19023,407,646,63.0,430,23,12521,76119,39310,15315,12388,80.9,399,408
Wolves,21,48.3,22382,2102,7283,10927,5473,843,20636,519,818,63.4,561,32,14113,82977,48556,16704,14072,84.2,447,454
